Altium Designer Pick and Place Locations
C:\Users\Administrator\Documents\GitHub\Buck001\Project Outputs for Buck001\Pick Place\Pick Place for Buck001.csv

========================================================================================================================
File Design Information:

Date:       01-04-25
Time:       03:34
Revision:   058d8657af7fb9316302c20e15deea1493ac5047
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"FIN15","FIN_5X1","TopLayer","FIN_5X1","265.748","866.142","180","FIN_5X1 Radiator"
"FIN14","FIN_5X1","TopLayer","FIN_5X1","541.339","866.142","180","FIN_5X1 Radiator"
"FIN13","FIN_5X1","TopLayer","FIN_5X1","1112.205","866.142","180","FIN_5X1 Radiator"
"FIN3","FIN_5X1","TopLayer","FIN_5X1","826.772","866.142","180","FIN_5X1 Radiator"
"H38","Castalated_Hole_1MM","TopLayer","CS_1MM","1259.842","944.882","180",""
"H37","Castalated_Hole_1MM","TopLayer","CS_1MM","1377.953","49.213","90",""
"FIN11","FIN_5X1","TopLayer","FIN_5X1","541.339","787.402","180","FIN_5X1 Radiator"
"FIN10","FIN_5X1","TopLayer","FIN_5X1","541.339","708.661","180","FIN_5X1 Radiator"
"FIN9","FIN_5X1","TopLayer","FIN_5X1","1112.205","787.402","180","FIN_5X1 Radiator"
"FIN8","FIN_5X1","TopLayer","FIN_5X1","1112.205","708.661","180","FIN_5X1 Radiator"
"FIN6","FIN_5X1","TopLayer","FIN_5X1","265.748","708.661","180","FIN_5X1 Radiator"
"FIN5","FIN_5X1","TopLayer","FIN_5X1","826.773","708.662","180","FIN_5X1 Radiator"
"FIN4","FIN_5X1","TopLayer","FIN_5X1","265.748","787.402","180","FIN_5X1 Radiator"
"FIN2","FIN_5X1","TopLayer","FIN_5X1","826.772","787.402","180","FIN_5X1 Radiator"
"H36","Castalated_Hole_1MM","TopLayer","CS_1MM","0.000","541.339","270",""
"H34","Castalated_Hole_1MM","TopLayer","CS_1MM","0.000","364.173","270",""
"H25","Castalated_Hole_1MM","TopLayer","CS_1MM","1377.953","787.402","90",""
"H20","Castalated_Hole_1MM","TopLayer","CS_1MM","1377.953","708.661","90",""
"H3","Castalated_Hole_1MM","TopLayer","CS_1MM","1023.622","944.882","180",""
"H15","Castalated_Hole_1MM","TopLayer","CS_1MM","944.882","944.882","180",""
